question,option_a,option_b,option_c,option_d,correct_answer,explanation,evidence,page_number,chunk_id,difficulty,bloom_level
Bếp cà ràng được cư dân Phù Nam sáng tạo vào khoảng thời gian nào?,500 năm trước,2.000 năm trước,3.000 năm trước,1.500 năm trước,B,Bếp cà ràng được sáng tạo khoảng 2.000 năm trước.,"cư dân Phù Nam đã sáng tạo một loại bếp làm từ đất nung, gọi là cà ràng. Bếp có thành che gió, có đáy giữ tro, lại gọn nhẹ nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ trong đời sống của cư dân vùng sông nước.",99,page_099_01,easy,remember
Bếp cà ràng có đặc điểm gì giúp thuận lợi cho việc sử dụng?,Được làm bằng kim loại,Có thành che gió và đáy giữ tro,Không có chân,Chỉ được dùng trên đất liền,B,"Bếp cà ràng có thành che gió, đáy giữ tro nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ.","Bếp có thành che gió, có đáy giữ tro, lại gọn nhẹ nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ trong đời sống của cư dân vùng sông nước.",99,page_099_01,easy,remember
Cư dân Phù Nam sử dụng bếp cà ràng như thế nào?,Dùng trên thuyền và sàn gỗ,Chỉ dùng trong nhà,Chỉ dùng trên đất liền,Không được dùng,A,Bếp cà ràng gọn nhẹ nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ.,"Bếp có thành che gió, có đáy giữ tro, lại gọn nhẹ nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ trong đời sống của cư dân vùng sông nước.",99,page_099_01,easy,remember
Cư dân Phù Nam sáng tạo bếp cà ràng để phục vụ nhu cầu nào?,Để làm đồ trang sức,Để nấu ăn,Để đốt lửa,Để làm công trình kiến trúc,B,Bếp cà ràng được sáng tạo để phục vụ nhu cầu nấu ăn.,"cư dân Phù Nam đã sáng tạo một loại bếp làm từ đất nung, gọi là cà ràng. Bếp có thành che gió, có đáy giữ tro, lại gọn nhẹ nên rất tiện khi dùng trên thuyền hoặc trên sàn gỗ trong đời sống của cư dân vùng sông nước.",99,page_099_01,medium,understand
"Khi học về Hí-ma-lay-a, em sẽ sử dụng khái niệm nào để hiểu về đặc điểm của vùng núi này?",Núi cao,Sông lớn,Khí hậu,Địa danh,A,"The context mentions that to understand and remember Himalaya, one will learn about its high mountains, young mountains, and natural differentiation according to altitude zones.","Em sẽ biết đến đây Hí-ma-lay-a, một dãy núi (đúng hơn là cả một vùng núi) cao đồ sộ của thế giới. Để hiểu và nhớ về Hí-ma-lay-a, em sẽ tìm hiểu về đặc điểm của vùng núi này và sẽ sử dụng đến khái niệm núi cao, núi trẻ, sự phân hoá thiên nhiên theo đai cao ở vùng núi.",101,page_101_01,easy,understand
"Trong học Địa lí, em được tìm hiểu về các đối tượng và hiện tượng địa lí như thế nào?",Những câu chuyện cổ tích,Chỉ thông qua sách giáo khoa,Từ các đối tượng và hiện tượng cụ thể trên Trái Đất,Qua việc quan sát trực tiếp,C,"The context states that in Geography, students learn about geographical objects and phenomena such as mountains, rivers, cities, countries, earthquakes, volcanic eruptions, winds, storms, tsunamis, ocean currents, etc.","Khi học Địa lí, em được tìm hiểu về các đối tượng và các hiện tượng địa lí như: núi, sông, các thành phố, các quốc gia, động đất, núi lửa phun trào, gió, bão, sóng thần, dòng biển, ...",101,page_101_01,medium,remember
Các con bão nhiệt đới phân bố ở đâu?,Ở các khu vực ven biển,Trên các vùng núi cao,Ở trung tâm đại dương,Trong lòng đất,A,"Đáp án B là đúng vì văn bản nói đến phân bố của hiện tượng địa lí, cụ thể là bão nhiệt đới ở các khu vực ven biển.",Các con bão nhiệt đới phân bố ở đâu?,101,page_101_02,easy,remember
"Khi học về hiện tượng địa lí, chúng ta thường xác định điều gì?",Thời gian,Độ cao,Chiều rộng,Vị trí địa lí,D,Đáp án B là đúng vì văn bản đề cập đến xác định vị trí địa lí khi học về hiện tượng địa lí.,"khi học Địa lí, em thường xác định vị trí địa lí, sự phân bố của các đối tượng và hiện tượng địa lí trên các bản đồ, lược đồ",101,page_101_02,easy,remember
Câu hỏi 'Ở đâu?' khi học về hiện tượng địa lí giúp ta tìm hiểu gì?,Chiều dài và chiều rộng,Phân bố của một loại hiện tượng địa lí,Đặc điểm chung của đối tượng địa lí,Thời gian diễn ra hiện tượng,B,Đáp án B là đúng vì văn bản nói đến việc câu hỏi 'Ở đâu?' giúp em tìm hiểu về đặc điểm chung trong phân bố một loại hiện tượng địa lí nào đó.,Câu hỏi ‘Ở đâu?’ đối với các hiện tượng địa lí thúc em tìm hiểu về đặc điểm chung trong phân bố một loại hiện tượng địa lí nào đó,101,page_101_02,medium,apply
Mỗi đối tượng địa lí có gì?,Thời gian diễn ra khác nhau,Vị trí địa lí xác định,Phân bố không cố định,Chiều rộng và chiều dài,B,Đáp án B là đúng vì văn bản nói đến mỗi đối tượng địa lí đều có một vị trí địa lí xác định.,mỗi đối tượng địa lí đều có một vị trí địa lí xác định,101,page_101_02,hard,analyze
"Khi trả lời câu hỏi 'Tại sao mưa đá thường xảy ra vào đầu mùa hạ?', em cần phải tìm hiểu:",Mối quan hệ giữa các hiện tượng địa lí,Thời tiết chuyển mùa,Lý do tại sao nhiệt độ giảm theo độ cao,Những ví dụ cụ thể về mưa đá,A,"Đáp án A là đúng vì câu hỏi 'Tại sao?' đòi hỏi em phải tìm ra mối liên hệ và quan hệ giữa các hiện tượng địa lí, trong đó một hiện tượng có thể là kết quả của mối quan hệ với một hoặc nhiều hiện tượng khác.","Khi trả lời câu hỏi ‘Tại sao?’, em sẽ phải tìm ra được mối liên hệ và quan hệ giữa các hiện tượng địa lí, trong đó, một hiện tượng này có thể là kết quả của mối quan hệ với một hoặc một số hiện tượng địa lí khác, được gọi là các quan hệ nhân – quả.",102,page_102_01,medium,analyze
"Để học tốt Địa lý, em cần phải có công cụ hỗ trợ nào?",Mối quan hệ giữa các hiện tượng địa lí,Bản đồ,Những ví dụ cụ thể về mưa đá,Lý do tại sao nhiệt độ giảm theo độ cao,B,Đáp án A là đúng vì Sử dụng bản đồ là kĩ năng quan trọng mà người học Địa lí đều cần thành thạo.,"Sử dụng bản đồ là kĩ năng quan trọng mà người học Địa lí đều cần thành thạo. Em sẽ làm quen với việc sử dụng các loại bản đồ thông dụng, nhưng nhiều hơn cả là những bản đồ chuyên đề tỉ lệ nhỏ được in trong sách giáo khoa và các tập bản đồ.",102,page_102_01,easy,remember
"Khi phân tích bản đồ địa lí, em cần phải chú ý đến:",Mối quan hệ giữa các hiện tượng địa lí,Những ví dụ cụ thể về mưa đá,Tỉ lệ và thông tin được thể hiện trên bản đồ,Lý do tại sao mưa đá thường xảy ra vào đầu mùa hạ,C,"Đáp án D là đúng vì khi phân tích bản đồ địa lí, em cần chú ý đến tỉ lệ và thông tin được thể hiện trên bản đồ.","Em sẽ làm quen với việc sử dụng các loại bản đồ thông dụng, nhưng nhiều hơn cả là những bản đồ chuyên đề tỉ lệ nhỏ được in trong sách giáo khoa và các tập bản đồ.",102,page_102_01,hard,apply
"Trong bài học Địa lí, em sẽ làm quen với loại bản đồ nào được đề cập nhiều nhất?",Bản đồ thế giới,Bản đồ địa phương,Bản đồ chuyên đề tỉ lệ nhỏ,Bản đồ trực tuyến,C,"CONTEXT nêu: 'Em sẽ làm quen với việc sử dụng các loại bản đồ thông dụng, nhưng nhiều hơn cả là những bản đồ chuyên đề tỉ lệ nhỏ được in trong sách giáo khoa và các tập bản đồ.'","Em sẽ làm quen với việc sử dụng các loại bản đồ thông dụng, nhưng nhiều hơn cả là những bản đồ chuyên đề tỉ lệ nhỏ được in trong sách giáo khoa và các tập bản đồ.",102,page_102_02,easy,remember
"Để phân tích biểu đồ và các số liệu thống kê, em cần làm gì?",Sử dụng GPS,In bản đồ,Xử lý số liệu,Chỉ quan sát,C,"CONTEXT nêu: 'Biểu đồ dùng để thể hiện trực quan các số liệu. Ví dụ: dân số của một số nước, thành phần không khí, nhiệt độ và lượng mưa các tháng trong năm,... Đối với các bảng số liệu, em có thể rút ra được kết luận chỉ bằng quan sát, nhưng có khi phải xử lí số liệu mới nhận xét được.'","Đối với các bảng số liệu, em có thể rút ra được kết luận chỉ bằng quan sát, nhưng có khi phải xử lí số liệu mới nhận xét được.",102,page_102_02,medium,apply
"Ngoài việc sử dụng bản đồ trong sách giáo khoa, em còn có thể sử dụng các thiết bị nào để xác định phương hướng?",Địa bàn,Tất cả đều đúng,GPS,Bản đồ trực tuyến,B,"CONTEXT nêu: 'Sử dụng các thiết bị xác định phương hướng, vị trí (định vị) như địa bàn, các tiện ích trong điện thoại thông minh (địa bàn điện tử, bản đồ trực tuyến, GPS, khí áp kế)', nhưng chỉ có thể chọn một đáp án.","Sử dụng các thiết bị xác định phương hướng, vị trí (định vị) như địa bàn, các tiện ích trong điện thoại thông minh (địa bàn điện tử, bản đồ trực tuyến, GPS, khí áp kế)",102,page_102_02,hard,apply
"Theo đoạn văn, lý do nào sau đây khiến kiến thức và kỹ năng địa lí trở nên thiết thực cho mọi người?",Kiến thức địa lí cần thiết cho cuộc sống hàng ngày,Học địa lí giúp khám phá nhiều vùng đất mới,Địa lí giúp giải thích hiện tượng tự nhiên,Việc có nhiều tiện ích trong điện thoại thông minh,A,"Theo đoạn văn, 'Kiến thức và kỹ năng địa lí là rất thiết thực cho mọi người' vì 'Nhiều tiện ích như thế trong điện thoại thông minh cho em thấy kiến thức và kĩ năng địa lí là rất thiết thực cho mọi người.'",Việc có nhiều tiện ích như thế trong điện thoại thông minh cho em thấy kiến thức và kĩ năng địa lí là rất thiết thực cho mọi người.,103,page_103_01,easy,understand
"Theo đoạn văn, lý do gì khiến việc học Địa lí trở nên thú vị?",Học địa lí giúp khám phá nhiều vùng đất mới,Việc có nhiều tiện ích trong điện thoại thông minh,Địa lí giúp giải thích hiện tượng tự nhiên và kinh tế - xã hội,Kiến thức địa lí cần thiết cho cuộc sống hàng ngày,C,"Theo đoạn văn, 'Lí thú vì em tự mình giải thích được nhiều hiện tượng tự nhiên và kinh tế – xã hội nhờ tìm ra được các mối quan hệ nhân – quả.'",Lí thú vì em tự mình giải thích được nhiều hiện tượng tự nhiên và kinh tế – xã hội nhờ tìm ra được các mối quan hệ nhân – quả.,103,page_103_01,hard,apply
"Theo đoạn văn, học địa lí giúp chúng ta làm gì?",Tự tin hơn khi đến thăm hoặc sống ở một vùng đất mới,Giúp chúng ta trở thành nhà khoa học thiên văn,Cho biết lịch sử các quốc gia,Giúp chúng ta ăn uống ngon miệng hơn,A,"Đoạn văn nêu rõ: 'Có kiến thức địa lí tốt, ta sẽ tự tin hơn khi đến thăm hoặc đến sống ở một vùng đất mới.'","Có kiến thức địa lí tốt, ta sẽ tự tin hơn khi đến thăm hoặc đến sống ở một vùng đất mới.",103,page_103_02,easy,remember
Đoạn văn đề cập đến lợi ích của việc học địa lí như thế nào?,Giúp chúng ta hiểu về lịch sử các quốc gia,Tăng cường khả năng tổ chức hoạt động sản xuất an toàn,Cho biết thông tin về các hành tinh trong hệ Mặt Trời,Hỗ trợ việc học tốt môn Toán,B,"Đoạn văn nêu rõ: 'iến thức địa lí tốt, ta sẽ tổ chức các hoạt động sản xuất an toàn hơn, tránh được thiệt hại do thiên tai, sử dụng tốt hơn các tài nguyên, các lợi thế về vị trí địa lí.'","iến thức địa lí tốt, ta sẽ tổ chức các hoạt động sản xuất an toàn hơn, tránh được thiệt hại do thiên tai, sử dụng tốt hơn các tài nguyên, các lợi thế về vị trí địa lí.",103,page_103_02,medium,remember
"Theo đoạn văn, học địa lí sẽ giúp chúng ta trong tình huống thực tế như thế nào?",Giúp chúng ta làm bài kiểm tra môn Toán,Cho chúng ta kiến thức để sử dụng tài nguyên một cách hiệu quả,Cho chúng ta hiểu về lịch sử các quốc gia,Giúp chúng ta biết cách trồng cây,B,Đoạn văn nêu rõ: 'Kiến thức và kĩ năng địa lí mà em học được trong nhà trường sẽ trở thành một phần trong hành trang vào đời và sẽ được sử dụng trong các tình huống thực tiễn sau này.',Kiến thức và kĩ năng địa lí mà em học được trong nhà trường sẽ trở thành một phần trong hành trang vào đời và sẽ được sử dụng trong các tình huống thực tiễn sau này.,103,page_103_02,medium,apply
Đoạn văn nhấn mạnh ý nghĩa của việc học địa lí như thế nào?,Học địa lí giúp chúng ta biết lịch sử các quốc gia,Học địa lí giúp chúng ta trở thành nhà khoa học thiên văn,Học địa lí giúp chúng ta tổ chức hoạt động sản xuất an toàn hơn,Học địa lí giúp chúng ta tự tin hơn khi đến thăm hoặc sống ở một vùng đất mới,D,"Đoạn văn nhấn mạnh: 'Có kiến thức địa lí tốt, ta sẽ tự tin hơn khi đến thăm hoặc đến sống ở một vùng đất mới.' và 'Kiến thức và kĩ năng địa lí mà em học được trong nhà trường sẽ trở thành một phần trong hành trang vào đời và sẽ được sử dụng trong các tình huống thực tiễn sau này.'","Có kiến thức địa lí tốt, ta sẽ tự tin hơn khi đến thăm hoặc đến sống ở một vùng đất mới. Kiến thức và kĩ năng địa lí mà em học được trong nhà trường sẽ trở thành một phần trong hành trang vào đời và sẽ được sử dụng trong các tình huống thực tiễn sau này.",103,page_103_02,hard,analyze
Vị trí của một địa điểm trên bản đồ có thể xác định bằng cách sử dụng:,Vĩ tuyến,Đường xích đạo,Kinh tuyến,Hai kinh tuyến và hai vĩ tuyến,D,Toạ độ địa lí của một địa điểm trên bản đồ có thể xác định bằng cách sử dụng hai kinh tuyến và hai vĩ tuyến.,"Học xong bài này, em sẽ: Xác định được trên bản đồ và trên quả Địa Cầu: kinh tuyến gốc, xích đạo, các bản cầu; ghi được toạ độ địa lí của một địa điểm trên bản đồ.",104,page_104_01,medium,remember
Kinh tuyến nào được chọn làm kinh tuyến gốc theo quy ước quốc tế?,Kinh tuyến 0°,Kinh tuyến 20°Đ,Kinh tuyến đi qua đài thiên văn Grin-uýt ở Luân-đôn,Kinh tuyến 160°T,C,"Theo quy ước quốc tế, kinh tuyến đi qua đài thiên văn Grin-uýt ở ngoại ô thủ đô Luân-đôn của nước Anh là kinh tuyến gốc và đánh số 0°.","Vì thế, theo quy ước quốc tế, kinh tuyến đi qua đài thiên văn Grin-uýt ở ngoại ô thủ đô Luân-đôn của nước Anh là kinh tuyến gốc và đánh số 0°.",105,page_105_01,easy,remember
Điểm A trong hình 1.3 có toạ độ địa lý là gì?,"40°S, 30°W","40°N, 30°E","40°S, 30°E","40°N, 30°W",B,"Toạ độ của điểm A được ghi rõ trong CONTEXT là (40°B, 30°T) hoặc {40°B, 30°T}. Trong hệ thống tọa độ địa lý, B đại diện cho vĩ độ Bắc và T đại diện cho kinh độ Đông.","A (vĩ độ, kinh độ) hoặc A { vĩ độ, kinh độ}. Ví dụ: Trên hình 1.3, điểm A có toạ độ địa lí là A (40°B, 30°T) hoặc A { 40°B, 30°T }.",106,page_106_01,easy,remember
"Trong hệ thống tọa độ địa lý, kinh tuyến gốc có độ dài như thế nào so với các kinh tuyến khác?","Đều nhất, không thay đổi",Dài hơn tất cả các kinh tuyến khác,Có độ dài bằng một nửa tổng số kinh tuyến,Nhiều hơn so với vĩ tuyến,A,"CONTEXT chỉ rõ rằng độ dài của kinh tuyến gốc là cố định và không thay đổi, trong khi các kinh tuyến khác có độ dài khác nhau.",Độ dài của kinh tuyến gốc so với các kinh tuyến khác như thế nào.,106,page_106_01,medium,understand
Toạ độ của điểm D trong hình 1.3 được xác định như thế nào?,"(50°S, 35°W)","(60°N, 10°E)","(35°N, 40°E)","(45°B, 20°T)",C,"CONTEXT chỉ rõ rằng toạ độ của các điểm cần được xác định trong hình 1.3, nhưng không cung cấp cụ thể cho D.","Quan sát hình 1.3, hãy xác định và ghi lại toạ độ địa lí của các điểm D, E.",106,page_106_01,easy,remember
"Trong phép chiếu bản đồ, lưới kinh vĩ tuyến được thể hiện như thế nào?",Các đường kinh tuyến và vĩ tuyến đều là các đường cong,"Các đường kinh tuyến là đường cong, vĩ tuyến là đường thẳng","Các đường vĩ tuyến là đường cong, kinh tuyến là đường thẳng",Các đường kinh tuyến và vĩ tuyến đều là các đường thẳng,D,"Trong phép chiếu bản đồ như Hình 2.2, lưới kinh vĩ tuyến được thể hiện bằng các đường thẳng.",<center>Hình 2.2. Một dạng phép chiếu bản đồ có các đường kinh tuyến và vĩ tuyến đều là các đường thẳng</center>,108,page_108_01,easy,remember
"Theo CONTEXT, phép chiếu bản đồ được sử dụng để thể hiện đặc điểm nào của Đảo Grin-len và Lục địa Nam Mỹ?",Diện tích,Thời tiết,Vị trí geografical,Tốc độ di chuyển,A,CONTEXT đề cập đến việc so sánh diện tích của Đảo Grin-len và Lục địa Nam Mỹ qua phép chiếu bản đồ.,"Quan sát hình 2.2 và hình 2.3, hãy nhận xét về diện tích đảo Grin-len so với lục địa Nam Mỹ.",108,page_108_01,easy,remember
"Trong hệ thống các ký hiệu bản đồ, hình tròn được sử dụng để thể hiện điều gì?",Biên giới quốc gia,Kí hiệu ngành công nghiệp,Thành phố,Sản bay,B,Hình tròn được sử dụng để thể hiện các kí hiệu ngành công nghiệp.,"Những kí hiệu ngành công nghiệp được đặt trong các hình tròn, thể hiện các trung tâm công nghiệp có nhiều ngành công nghiệp.",109,page_109_01,easy,remember
"Trong bản đồ địa hình, kí hiệu nào được sử dụng để biểu thị đường sắt?",Đường ô tô,Đường đồng mức,Đường sắt,Cầu,C,"Khi đọc bản đồ, ta cần chú ý đến các kí hiệu được chỉ dẫn trong bảng chú giải.",Đường sắt - Đường sắt,110,page_110_01,easy,remember
"Bản đồ nào thường được sử dụng để thể hiện chi tiết một khu vực như huyện, xã?",Bản đồ tỉ lệ lớn,Bản đồ không xác định,Bản đồ tỉ lệ nhỏ,Bản đồ tỉ lệ trung bình,A,"Theo thông tin trong văn bản, bản đồ tỉ lệ lớn thường được sử dụng để thể hiện chi tiết một khu vực như huyện, xã.","Bản đồ tỉ lệ lớn: lớn hơn 1 : 200 000. Ví dụ: bản đồ tỉ lệ 1 : 100 000, 1 : 50 000, 1 : 10 000 để thể hiện chi tiết một khu vực như huyện, xã,...",110,page_110_01,medium,understand
Tỉ lệ bản đồ là gì?,Yếu tố để xác định mức độ thu nhỏ khoảng cách khi chuyển từ thực tế sang thể hiện trên mặt phẳng bản đồ,"Địa giới thị trấn, phường, xã",Hệ thống kí hiệu trên bản đồ,Trung tâm hành chính cấp tỉnh,A,Tỉ lệ bản đồ được định nghĩa là yếu tố để xác định mức độ thu nhỏ khoảng cách khi chuyển từ thực tế sang thể hiện trên mặt phẳng bản đồ.,Tỉ lệ bản đồ là gì? Tỉ lệ bản đồ là yếu tố để xác định mức độ thu nhỏ khoảng cách khi chuyển từ thực tế sang thể hiện trên mặt phẳng bản đồ.,110,page_110_01,medium,understand
"Trong ví dụ về khoảng cách từ Rạch Giá đến Cần Thơ, nếu ta biết rằng trên bản đồ khoảng cách là 3,3 cm và tỉ lệ bản đồ là 1:20 km (tức 1 cm tương ứng với 20 km), thì khoảng cách thực tế giữa hai địa điểm này theo đường thẳng là bao nhiêu?",100 km,45.7 km,85.3 km,66 km,D,"Khoảng cách thực tế = 3,3 cm * 20 km/cm = 66 km.","Trên bản đồ, từ Rạch Giá đến Cần Thơ đo được là khoảng 3,3 cm. Căn cứ vào tỉ lệ thước, 1 cm trên bản đồ tương ứng với 20 km trên thực địa, vậy khoảng cách thực tế từ Rạch Giá đến Cần Thơ theo đường thẳng khoảng 66 km.",111,page_111_01,medium,apply
"Để đo khoảng cách giữa Bạc Liêu và Sóc Trăng trên bản đồ, ta cần thực hiện các bước nào?",Dùng bút chì đánh dấu trực tiếp trên bản đồ,Đếm số ô trên bản đồ từ Bạc Liêu đến Sóc Trăng,"Xác định vị trí hai địa điểm, đặt com-pa hoặc mảnh giấy vào hai điểm đó, giữ nguyên độ rộng của com-pa (hoặc mảnh giấy) và đặt lên thước tỉ lệ để tìm khoảng cách",Sử dụng kính viễn vọng,C,"Ta cần xác định vị trí hai địa điểm, đặt com-pa hoặc mảnh giấy vào hai điểm đó, giữ nguyên độ rộng của com-pa (hoặc mảnh giấy) và đặt lên thước tỉ lệ để tìm khoảng cách.","Để đo khoảng cách giữa hai điểm (ví dụ giữa Rạch Giá và Cần Thơ trên hình 2.9), ta thực hiện theo các bước sau: – Xác định vị trí hai địa điểm cần đo. – Đặt hai đầu của com-pa vào hai điểm cần đo như hình 2.9A (đối với mảnh giấy, đặt mép thẳng của mảnh giấy sát hai điểm cần đo như hình 2.9C, dùng bút đánh dấu hai điểm đó lên giấy).",111,page_111_01,easy,remember
"Trong quá trình đo khoảng cách, sau khi đánh dấu tại điểm A và B, bước tiếp theo là gì?",Đặt giấy dọc theo thước tỉ lệ.,Đánh dấu tại điểm C.,Xoay mép giấy tại điểm B để đoạn tiếp theo nằm thẳng.,Đặt cạnh giấy thẳng theo đoạn A – B.,C,"Sau khi đánh dấu tại điểm A và B, ta cần xoay mép giấy tại điểm B để đoạn tiếp theo nằm thẳng.",2. Đánh dấu tại A và B.,112,page_112_01,medium,understand
"Khi xác định phương hướng trên bản đồ, ta có thể sử dụng gì?",Lưới kinh vị tuyến,Đo khoảng cách theo đường gấp khúc,Mũi tên chỉ hướng bắc,Thước tỉ lệ,A,Ta có thể sử dụng lưới kinh vị tuyến để xác định phương hướng trên bản đồ.,<center>Hình 2.12. Xác định phương hướng dựa vào lưới kinh vị tuyến</center>,112,page_112_01,easy,remember
"Trong các hướng chính trên bản đồ, hướng nào được quy định là hướng bắc?",Thước tỉ lệ,Đoạn A – B,Lưới kinh vị tuyến,Mũi tên chỉ hướng bắc,D,Hướng bắc được quy định bởi mũi tên chỉ hướng bắc trên bản đồ.,<center>Hình 2.13. Xác định phương hướng dựa vào mũi tên chỉ hướng bắc</center>,112,page_112_01,hard,analyze
"Trên bản đồ khu vực Bắc Cực, các đường kinh tuyến đều chỉ hướng về đâu?",đông,bắc,nam,tây,C,Điều này được xác định thông qua thông tin trong CONTEXT.,"Riêng bản đồ khu vực Bắc Cực, các đường kinh tuyến đều chỉ hướng nam; còn bản đồ khu vực Nam Cực, các đường kinh tuyến đều chỉ hướng bắc.",113,page_113_01,easy,remember
Nhóm bản đồ địa lí chung thể hiện các đối tượng nào trên bề mặt đất?,"phân bố dân cư, phân bố nhà máy thuỷ điện","tự nhiên, kinh tế, xã hội","ranh giới hành chính, đường giao thông","địa hình, đất, sinh vật",B,"CONTEXT đã nêu rõ nhóm bản đồ địa lí chung thể hiện các đối tượng tự nhiên, kinh tế, xã hội.","Nhóm bản đồ địa lí chung thể hiện các đối tượng địa lí cụ thể trên bề mặt đất (tự nhiên, kinh tế, xã hội,...) như địa hình, đất, sinh vật, các điểm dân cư, đường giao thông, các vùng sản xuất, ranh giới hành chính,...",113,page_113_01,medium,remember
Hình nào có độ chính xác hơn khi thể hiện toàn bộ bề mặt Trái Đất lên bản đồ?,không đủ thông tin để xác định,hình 2.2,hình 2.3,cả hai hình đều không chính xác,A,"CONTEXT không cung cấp thông tin về độ chính xác của các hình, do đó không thể xác định.","1. Để thể hiện toàn bộ Trái Đất thì giữa quả Địa Cầu và bản đồ, phương tiện nào thể hiện đúng hơn?",113,page_113_01,medium,analyze
Tại sao em không bị lạc khi bố mẹ đưa đi học?,Vì em có bản đồ trong tay,Vì em đã học qua bài học về lược đồ trí nhớ,Vì em nhớ rõ con đường từ nhà đến trường,Vì em có người dẫn đường,C,"Lược đồ trí nhớ giúp em hình thành cảm nhận về không gian xung quanh, từ đó định hướng được.","Rồi bố mẹ đưa đến các nơi em thích: cửa hàng kem, hiệu sách thiếu nhi, đến nhà các bạn cùng lớp,... Nếu có đi một mình, em cũng không bị lạc. Tại sao em lại không bị lạc? Vì trong đầu, trong trí nhớ của em đã hình thành một hình ảnh về không gian đó, được gọi là lược đồ trí nhớ.",114,page_114_01,easy,remember
Lược đồ trí nhớ giúp người ta làm gì?,Hình thành hình ảnh về không gian xung quanh,Tìm đường và định hướng trong không gian,Mô tả cảm nhận về địa phương bằng lời,Vẽ sơ đồ về các địa điểm mình yêu thích,B,Lược đồ trí nhớ giúp người ta định hướng và đi đến nơi họ muốn mà không cần bản đồ.,"Lược đồ trí nhớ tồn tại trong trí não con người, nhờ thế mà người ta có thể định hướng trong không gian, tìm đường, đi được đến nơi mình muốn đến và trở lại nơi mình muốn trở về mà không cần có bản đồ trong tay hay bất cứ công cụ hỗ trợ nào.",114,page_114_01,medium,understand
Lược đồ trí nhớ là gì?,Định hướng trong không gian,Cảm nhận của cá nhân về địa phương,Sơ đồ phác hoạ khung cảnh,Hình ảnh về không gian xung quanh,D,Lược đồ trí nhớ là cảm nhận của cá nhân về không gian xung quanh mà họ đã trải nghiệm.,Lược đồ trí nhớ về không gian xung quanh ta Lược đồ trí nhớ trước hết là cảm nhận của cá nhân về không gian xung quanh – một nơi nào đấy – mà người đó đã trải nghiệm.,114,page_114_01,hard,analyze
"Khi xây dựng lược đồ trí nhớ về một không gian mà mình chưa từng đến, ví dụ như một du lịch muốn thăm các địa điểm mới, người đó cần làm gì?",Xem ảnh chụp từ internet,Tìm hiểu thông tin từ nhiều nguồn khác nhau,Đọc sách và báo về địa điểm,Nói chuyện với những người đã từng đến,B,Đoạn văn đề cập đến việc tìm hiểu thông tin từ các nguồn khác nhau.,"Cách xây dựng lược đồ trí nhớ Một người cũng có thể xây dựng lược đồ trí nhớ cho những nơi họ chưa từng đến, ví dụ như một du khách có thể đánh dấu trên lược đồ các địa điểm họ muốn đến thăm thông qua tìm hiểu thông tin từ các nguồn khác nhau.",115,page_115_01,medium,apply
"Theo đoạn văn, khi vẽ lược đồ trí nhớ về một không gian, điều gì quan trọng nhất?",Sử dụng màu sắc phong phú,Vẽ giống như bạn khác,Đưa vào nhiều thông tin chi tiết,Chỉ vẽ những đối tượng địa lí mà mình nhớ và cho là chính xác,D,Đoạn văn nhấn mạnh việc chỉ vẽ những gì trong trí nhớ của bản thân.,"Khi vẽ lược đồ trí nhớ ra giấy, điều quan trọng là chỉ vẽ ra những đối tượng địa lí nào mà người đó nhớ và cho là chính xác.",115,page_115_01,hard,analyze
"Theo CONTEXT, lược đồ trí nhớ được tạo ra dựa trên việc nghiên cứu gì?",Bản đồ vệ tinh,Bản đồ địa vật,Bản đồ các tuyến xe buýt,Bản đồ du lịch,C,CONTEXT đề cập đến việc người vẽ lược đồ nghiên cứu bản đồ các tuyến xe buýt.,- Lược đồ này hình thành sau khi người vẽ lược đồ nghiên cứu bản đồ các tuyến xe buýt được dán ở bến xe buýt và xác định đường đi đến địa điểm cần đến.,116,page_116_01,easy,remember
"Khi sử dụng Google Maps trên điện thoại thông minh, cách nào để thay đổi vị trí hiện tại của bản đồ?",Nhấn vào biểu tượng vị trí,Di chuyển ngón tay trên màn hình,Nhấn vào nút 'Directions',Nhấn và giữ nút zoom,B,"Để di chuyển bản đồ, người dùng cần di chuyển ngón tay trên màn hình.","Ta có thể dùng Google Maps trên máy tính cá nhân, điện thoại thông minh được kết nối internet. Ở Google Maps, chúng ta có thể thực hành một số tính năng sau: – Di chuyển bản đồ được hiển thị trên màn hình.",118,page_118_01,easy,understand
"Trên Google Maps, cách nào để xem gợi ý đường đi từ điểm hiện tại đến một địa điểm khác?",Nhấn vào biểu đồ thời tiết,Nhấn và giữ nút zoom,Nhấn vào nút 'Directions',Nhấn vào biểu tượng vị trí,C,"Để xem gợi ý đường đi, người dùng cần nhấn vào nút Directions.","Xác định một địa điểm muốn đến; sau đó nhấn vào nút Directions để quan sát gợi ý đường đi đến địa điểm đó, khoảng cách (km) và khoảng thời gian cần thiết nếu đi bằng ô tô.",118,page_118_01,medium,apply
